flight_id,flight_duration,passenger_count,adult_passengers,child_passengers,business_class_ratio,is_international,total_food_demand
63,3.3,67,53,14,0.051641797222756636,0,66
64,7.67,181,143,38,0.9962420986170206,0,371
65,1.17,138,107,31,0.7365572029698445,0,139
66,3.64,109,106,3,0.08745015650275367,0,112
67,11.06,63,57,6,0.020249379790092115,1,163
68,2.92,291,236,55,0.7192878001522802,0,366
69,2.91,299,290,9,0.43919216568266695,0,350
70,5.72,58,41,17,0.786796709064576,1,137
71,5.29,139,107,32,0.9234760378183837,0,278
72,6.94,102,79,23,0.5993003890163725,1,230
73,9.54,179,136,43,0.18710842291725305,1,479
74,7.26,133,107,26,0.7821940360464525,0,256
75,9.07,141,128,13,0.9558117431743745,1,471
76,2.43,160,160,0,0.580231287059956,0,197
77,7.53,237,190,47,0.6819974472807335,0,442
78,2.85,248,190,58,0.33747469503667304,0,273
79,2.05,221,191,30,0.3815276946603112,0,250
80,3.81,57,55,2,0.7346544978530639,1,91
81,4.94,224,205,19,0.9277710984068192,0,456
82,1.8,84,65,19,0.6289883872243522,0,82
83,1.97,255,218,37,0.7898479084853475,0,264
84,3.1,130,96,34,0.17163501741537301,0,134
85,2.97,213,192,21,0.21195909025797355,0,228
86,5.23,99,93,6,0.5320346868333901,0,179
87,10.35,153,135,18,0.17655419224284052,1,414
88,6.33,181,153,28,0.6349950702209236,0,334
89,5.36,51,45,6,0.291653185394699,1,107
90,2.72,183,128,55,0.791532618666892,0,233
91,7.76,103,82,21,0.8081103466143434,0,200
92,1.06,155,126,29,0.4637874557553531,0,144
93,7.16,53,45,8,0.18081063503763528,0,83
94,2.4,103,98,5,0.6467749610819326,0,129
95,11.53,270,222,48,0.9927870182635864,1,902
96,3.4,240,211,29,0.6225908979425233,0,295
97,6.96,195,139,56,0.03577469071400785,1,372
98,5.95,267,267,0,0.01729397576708258,0,403
99,5.11,93,79,14,0.3203619704923062,0,154
100,3.23,211,197,14,0.19578380686040486,0,225
101,7.98,251,187,64,0.8130512071433081,1,597
102,6.11,239,215,24,0.8448056670360005,0,474
103,3.38,277,262,15,0.25861877131047617,1,387
104,3.1,63,59,4,0.3256447769498927,1,90
105,4.21,144,111,33,0.23624696771511466,0,229
106,1.92,97,85,12,0.908382547371264,0,104
107,5.65,64,48,16,0.5026493346222822,0,112
108,2.5,249,190,59,0.6561370440820199,0,306
109,4.03,255,235,20,0.4154820866996033,0,442
110,2.38,264,212,52,0.6310141935045311,0,323
111,4.84,298,240,58,0.3858553767217361,0,503
112,1.81,239,226,13,0.33967843772922546,0,216
113,1.16,89,88,1,0.6344800731734802,0,89
114,1.36,262,237,25,0.5910620780489892,0,256
115,7.68,257,188,69,0.29352795416794963,0,415
116,2.0,286,246,40,0.1493484503194734,0,297
117,5.96,131,113,18,0.3685766938381376,0,221
118,3.61,160,132,28,0.4151976391419092,1,230
119,1.76,102,91,11,0.6286843334246048,0,101
120,4.56,73,61,12,0.9145287636368638,0,147
121,4.25,203,154,49,0.03618479753292514,0,298
122,7.66,266,218,48,0.2436610125418449,0,427
123,7.61,237,188,49,0.19371594227956035,0,372
124,10.02,173,164,9,0.5022944086937836,1,517
125,5.21,286,210,76,0.4297008070431598,0,486
126,4.18,90,78,12,0.7290376238201884,0,172
127,3.49,206,147,59,0.24241591254486383,0,217
128,7.63,64,58,6,0.5944983657497586,0,117
129,5.22,94,89,5,0.8838572635999593,0,190
130,5.05,114,108,6,0.9106777399183047,0,232
131,2.62,138,104,34,0.9587846047250311,0,186
132,1.33,120,104,16,0.7732611520799886,0,124
133,7.62,58,58,0,0.905987906258915,0,119
134,3.2,137,113,24,0.23453087198527423,0,146
135,6.98,178,135,43,0.19758094435047702,1,359
136,1.8,285,235,50,0.006488083780526455,0,223
137,6.86,185,170,15,0.7068443574290983,0,353
138,1.19,265,201,64,0.9374671878137444,0,284
139,6.84,112,105,7,0.18693534504167642,0,179
140,1.98,188,171,17,0.6369435754268788,0,187
141,7.21,292,250,42,0.7464597592217775,0,559
142,6.11,130,108,22,0.9276142351480565,0,262
143,2.15,185,142,43,0.6468602240172217,0,226
144,4.96,212,160,52,0.9702937327487523,0,430
145,3.19,212,160,52,0.34467314101254776,0,233
146,2.25,82,60,22,0.34992853377140765,0,90
147,7.01,172,150,22,0.5430125100143456,0,309
148,3.82,54,38,16,0.3835018811159071,0,60
149,3.79,283,213,70,0.0014257282875326238,0,273
150,2.19,280,204,76,0.7317720250869874,0,351
151,3.68,299,281,18,0.7517170414784834,0,386
152,10.84,90,67,23,0.7469746046867705,1,281
153,3.54,77,63,14,0.3450206666104666,0,86
154,7.66,184,181,3,0.5222894733111719,0,333
155,7.62,250,230,20,0.35997351817666945,0,424
156,4.3,121,105,16,0.01603640003064577,1,234
157,2.24,61,42,19,0.5624489412714188,0,72
158,7.04,211,191,20,0.12376066608401104,0,328
159,3.75,82,69,13,0.0800413240914406,0,83
160,1.03,97,68,29,0.7554990686967872,0,98
161,2.92,296,215,81,0.009506202418105625,0,285
162,5.18,200,163,37,0.9590084436087262,0,407
163,10.19,111,84,27,0.5152553641125769,1,326
164,4.2,265,191,74,0.9830164307061484,1,656
165,1.77,86,63,23,0.057997572472708425,0,68
166,7.45,148,120,28,0.5835295488659132,0,268
167,9.76,221,156,65,0.3493270359759112,1,617
168,5.13,153,134,19,0.8434824928142858,0,303
169,6.38,263,253,10,0.3612227352342863,0,449
170,4.0,268,230,38,0.2604875790573491,0,435
171,6.31,84,78,6,0.8575531270999133,0,168
172,3.6,242,196,46,0.374653091653261,0,271
173,2.71,276,246,30,0.01683331986056147,0,273
174,6.1,150,105,45,0.39028910083933377,0,250
175,3.94,224,176,48,0.6545222690109419,0,275
176,7.87,255,190,65,0.25435953880638185,0,407
177,3.45,180,173,7,0.4319875924251573,0,210
178,11.3,50,40,10,0.05671513828222552,1,129
179,7.53,54,46,8,0.5880927915139572,0,98
180,2.69,267,238,29,0.7562949238603938,0,343
181,10.18,296,250,46,0.4133125614011103,1,854
182,6.9,191,179,12,0.42023263280146006,1,418
183,7.42,152,115,37,0.08828249858491644,0,228
184,4.15,76,66,10,0.20194086451198257,0,121
185,6.21,186,142,44,0.15467530312791267,0,286
186,7.2,256,215,41,0.48168776866153795,1,564
187,5.05,64,49,15,0.5292555409507501,1,142
188,4.79,139,120,19,0.94894013128426,1,346
189,3.98,91,64,27,0.0732315042772339,0,90
190,6.29,173,142,31,0.5998679731550471,0,315
191,5.24,254,190,64,0.5264985273282413,0,447
192,5.82,228,168,60,0.5162330979358292,0,399
193,2.98,112,112,0,0.8731592873828264,0,151
194,4.37,145,125,20,0.20553847069548647,0,231
195,1.31,280,198,82,0.04077327434137146,0,218
196,6.72,290,219,71,0.6722715076341925,0,536
197,7.93,101,81,20,0.34515746413598014,0,168
198,3.85,145,124,21,0.017589916212524592,0,143
199,1.08,181,154,27,0.2513740072904138,0,156
200,2.19,271,231,40,0.3093267742168119,0,299
201,5.57,278,218,60,0.616838376784242,0,506
202,5.28,200,175,25,0.1725857940492721,0,315
203,10.09,280,255,25,0.413054347953398,1,813
204,2.78,286,264,22,0.4824754444178325,0,338
205,6.35,192,153,39,0.4592373913640909,0,332
206,5.82,220,181,39,0.9739407666667818,0,450
207,3.26,78,69,9,0.04550423779029611,0,78
208,7.91,85,73,12,0.9509681864523993,1,212
209,2.03,62,59,3,0.5819372139940333,0,76
210,7.07,209,185,24,0.7957277149698383,1,502
211,7.17,120,111,9,0.4303926180160754,0,209
212,6.79,236,222,14,0.45383788125698044,1,521
213,6.88,292,279,13,0.8793264990158236,0,589
214,8.31,135,120,15,0.8959344962919021,1,443
215,2.34,77,74,3,0.23868888143129763,0,84
216,5.07,115,109,6,0.19924187858461817,0,185
217,4.54,219,186,33,0.4962351738699511,0,386
218,6.59,94,69,25,0.9002770271276916,1,228
219,1.84,111,82,29,0.3223550934061763,0,97
220,3.92,234,169,65,0.6520146153391313,0,285
221,3.65,294,229,65,0.7081516877406011,1,456
222,1.69,183,160,23,0.7786746648941558,0,189
223,3.91,77,75,2,0.5639244579209632,0,94
224,3.14,77,59,18,0.4024551782789696,0,87
225,7.48,157,120,37,0.9670159887989729,0,318
226,6.38,93,80,13,0.6113307533028527,1,213
227,6.31,133,108,25,0.7285652116332708,0,252
228,4.71,79,65,14,0.34498284569587834,0,132
229,9.34,239,173,66,0.6699491810030801,1,730
230,2.82,124,121,3,0.2577976621641259,0,136
231,7.59,177,169,8,0.24509691752863616,0,290
232,4.71,299,259,40,0.7147222018094264,0,568
233,6.82,296,279,17,0.5213947362629351,0,533
234,3.56,141,129,12,0.6832766104223897,0,178
235,3.9,266,260,6,0.2694384907480917,1,374
236,5.72,280,203,77,0.5987233410567304,0,503
237,1.05,239,238,1,0.44393364970311255,0,225
238,4.33,274,235,39,0.5969602868455279,0,500
239,2.35,178,145,33,0.29087973224421937,0,194
240,8.65,170,121,49,0.7154509636491239,1,525
241,11.81,76,60,16,0.8059293661594655,1,242
242,4.25,239,233,6,0.25991647385772365,0,394
243,6.72,170,146,24,0.30062055985564207,0,280
244,4.55,165,155,10,0.661154269719093,0,311
245,4.47,254,205,49,0.6955851743035442,0,476
246,7.51,282,224,58,0.7040996843974501,0,529
247,7.23,52,48,4,0.6826985047758368,0,98
248,6.5,152,120,32,0.3928077169525388,0,257
249,3.07,247,215,32,0.39485367440367836,0,281
250,4.82,249,177,72,0.25481762364438143,0,395
251,2.57,204,167,37,0.15683369989636298,0,211
252,4.11,186,169,17,0.6925773793969057,0,352
253,4.39,111,85,26,0.09318878597231284,0,167
254,6.82,214,153,61,0.9377922867867816,0,428
255,11.06,274,246,28,0.8266863036714514,1,885
256,3.9,100,89,11,0.8575057399572561,0,133
257,1.12,283,247,36,0.9066688146151902,0,304
258,7.03,221,168,53,0.4086049707232401,0,374
259,4.57,201,171,30,0.846700723350401,1,487
260,8.6,256,206,50,0.15806130029164933,1,683
261,1.17,108,96,12,0.021641794608235676,0,86
262,3.8,167,156,11,0.7848913946638502,0,218
263,11.87,209,162,47,0.0747966479969393,1,542
264,1.7,145,126,19,0.9885246673259216,0,160
265,3.97,265,255,10,0.674796429601556,0,335
266,3.15,282,253,29,0.7534497102421055,0,363
267,7.34,229,185,44,0.24580385627786594,0,367
268,7.09,162,137,25,0.6738653939196881,0,303
269,2.66,111,86,25,0.04321993725495721,0,109
270,1.57,290,247,43,0.8378257199236009,0,305
271,8.64,235,174,61,0.16962409303157244,1,625
272,3.35,101,82,19,0.6973580668337706,0,126
273,9.05,61,49,12,0.22448050123272834,1,166
274,1.22,88,68,20,0.06845316942604274,0,70
275,1.93,179,128,51,0.4814936785493943,0,165
276,5.8,180,171,9,0.16928621027278945,0,286
277,4.91,162,143,19,0.7294439883265498,1,383
278,7.0,150,132,18,0.23756584338348485,0,242
279,1.41,162,123,39,0.34247255623582884,0,143
280,4.94,233,227,6,0.5674392512644729,1,532
281,7.99,130,128,2,0.2849682775773116,0,217
282,6.9,236,218,18,0.37798811620996164,1,510
283,5.92,162,159,3,0.8156217710403867,0,322
284,4.64,51,43,8,0.1792098495610257,1,103
285,5.27,179,170,9,0.08220158948193368,0,275
286,6.08,269,213,56,0.3283577851330193,0,444
287,3.2,103,88,15,0.42437676701387816,0,118
288,6.8,136,99,37,0.5426592821365677,0,240
289,5.22,278,277,1,0.37242369617500704,0,479
290,3.72,273,242,31,0.7899117002228051,0,355
291,4.9,274,265,9,0.03931948766847326,0,415
292,5.04,178,177,1,0.43176753819855795,0,313
293,2.16,196,169,27,0.3822559146564046,0,222
294,3.82,175,171,4,0.647578490806859,0,220
295,6.09,179,162,17,0.966276251897396,1,449
296,3.81,102,97,5,0.5103754066288622,0,122
297,6.33,221,168,53,0.9868768469417205,0,450
298,4.38,267,246,21,0.30224939491319747,0,444
299,7.58,209,203,6,0.030868132542461013,0,316
300,3.06,247,192,55,0.16566316747641274,0,255
301,3.91,209,191,18,0.3951248847745673,0,239
302,6.51,296,275,21,0.3163339091885522,0,495
303,7.91,117,86,31,0.09705413098337767,1,228
304,4.83,232,199,33,0.43266010769071683,0,401
305,1.37,252,237,15,0.33811577165956275,0,227
306,3.79,233,224,9,0.12261922045743845,0,243
307,2.9,172,137,35,0.2961171306119089,0,187
308,8.0,194,148,46,0.8864360553553905,0,512
309,3.16,87,69,18,0.3020488654893402,0,95
310,7.19,73,64,9,0.7139554232420516,0,139
311,5.73,118,94,24,0.6120470796577556,0,215
312,3.39,165,145,20,0.4271811624083718,0,190
313,4.8,147,131,16,0.23902563680366917,0,238
314,10.56,247,174,73,0.36901469934594544,1,693
315,7.18,263,189,74,0.5921072134710428,0,471
316,4.44,188,159,29,0.35075321474935495,1,400
317,6.06,289,209,80,0.21489643357423183,1,583
318,3.35,193,178,15,0.1164627488916321,0,200
319,1.29,146,146,0,0.8797669379095653,0,158
320,5.19,250,207,43,0.44031297575190564,0,431
321,10.69,173,137,36,0.6252083217429301,1,526
322,3.67,236,214,22,0.49041036113680525,0,279
323,6.18,119,93,26,0.8725665183579634,0,235
324,5.39,257,206,51,0.5469348524482108,0,458
325,6.38,142,142,0,0.48078141794911333,1,318
326,1.99,52,41,11,0.9246009904217126,0,56
327,9.38,197,177,20,0.7196895960453545,1,620
328,6.98,236,180,56,0.11154990734685732,0,357
329,5.8,213,196,17,0.17770446119681405,0,338
330,1.13,196,192,4,0.7871228629394419,0,206
331,2.51,139,122,17,0.8358513211799543,0,183
332,1.49,244,231,13,0.5451908290902965,0,236
333,4.99,196,193,3,0.5544552278666393,0,359
334,9.81,197,148,49,0.6319329628514445,1,597
335,1.77,145,111,34,0.4391157742826395,0,132
336,10.55,248,190,58,0.680199123483904,1,762
337,4.89,101,88,13,0.10848125756641569,0,155
338,9.21,282,251,31,0.9612792423673864,1,941
339,7.8,210,184,26,0.7501548237949217,0,404
340,3.75,217,176,41,0.6311742040090069,1,331
341,11.11,177,128,49,0.3163220570094807,1,490
342,1.88,88,64,24,0.16095548745672916,0,72
343,3.75,131,119,12,0.40934296382894464,0,151
344,6.96,153,140,13,0.6615767405740585,0,287
345,7.34,178,140,38,0.6337097434231109,0,326
346,7.56,60,52,8,0.3826411550655715,1,129
347,5.16,269,230,39,0.6132863938331298,0,494
348,5.96,234,228,6,0.8137482955675476,0,464
349,6.83,266,219,47,0.026284772337607065,0,393
350,4.09,227,165,62,0.4506210479302757,1,490
351,10.29,200,152,48,0.758555228466791,1,627
352,4.37,208,186,22,0.5461444704633772,0,375
353,4.15,271,196,75,0.65147608792907,0,496
354,3.97,91,66,25,0.516676392605342,0,106
355,4.56,148,132,16,0.991874544682311,0,306
356,7.62,56,39,17,0.054621536489038225,0,82
357,4.84,193,177,16,0.4910448217723773,0,343
358,7.67,139,135,4,0.09141654911451769,0,215
359,2.26,161,128,33,0.15978556211357042,0,166
360,6.07,298,266,32,0.38303835041826184,0,508
361,6.69,293,288,5,0.1555400915004873,0,466
362,5.75,109,99,10,0.963687165956651,0,224
363,5.25,162,162,0,0.9467897767251591,0,335
364,4.95,51,46,5,0.3361096462206038,0,86
365,7.03,178,132,46,0.6397477120376796,0,325
366,6.75,97,71,26,0.5337533205937861,0,171
367,1.86,189,141,48,0.8155869805157686,0,195
368,10.64,246,207,39,0.6274456098169422,1,751
369,3.9,86,64,22,0.000252454490562104,0,83
370,2.78,209,173,36,0.7631743856097388,0,267
371,7.09,300,237,63,0.7468481212961181,0,570
372,4.02,296,248,48,0.509722705566481,0,524
373,6.66,58,50,8,0.9029189732330538,0,117
374,2.84,282,281,1,0.9084462056904016,0,384
375,1.03,148,126,22,0.5239116767043972,0,141
376,4.47,196,178,18,0.6079882311965377,0,361
377,1.7,97,94,3,0.9965220719246723,0,108
378,6.28,257,244,13,0.2988202348114175,0,429
379,2.93,180,179,1,0.32461724231147737,0,203
380,4.11,197,144,53,0.18277390266349636,0,305
381,1.61,201,187,14,0.895866939157868,0,217
382,5.58,103,98,5,0.7444883899492662,1,246
383,6.47,169,139,30,0.10564284887024189,0,257
384,2.06,210,183,27,0.9817673511979657,0,288
385,8.82,201,166,35,0.730961708161116,1,630
386,7.42,165,143,22,0.8505221096049745,0,327
387,5.76,124,88,36,0.048150789173200925,0,181
388,6.68,162,156,6,0.5049609189421677,0,291
389,3.98,249,186,63,0.6985982867270393,1,384
390,5.26,213,193,20,0.5429465845718413,1,480
391,7.26,215,159,56,0.6666474656992775,0,396
392,6.01,153,142,11,0.8178740635904725,0,302
393,5.48,133,101,32,0.3743370629601962,0,222
394,5.65,276,246,30,0.8486686756187097,0,548
395,3.9,161,138,23,0.16291610476529073,0,168
396,1.31,266,219,47,0.27088605502637475,0,230
397,6.49,148,103,45,0.043345619927325774,0,216
398,5.75,202,172,30,0.3644268113352511,0,340
399,4.31,142,123,19,0.3799095448241203,0,241
400,7.3,195,164,31,0.8052705972072509,0,380
401,3.35,177,129,48,0.653130670289656,0,216
402,5.65,159,159,0,0.43672255815566663,1,352
403,7.11,131,93,38,0.6521139786237482,0,239
404,6.58,243,189,54,0.05278335051569116,0,360
405,4.6,103,92,11,0.1802715360183761,0,163
406,1.92,212,182,30,0.626947855241755,0,209
407,4.94,257,256,1,0.6413668192253023,1,600
408,5.59,238,182,56,0.7741346587074271,0,455
409,3.7,218,169,49,0.4029997590536022,0,246
410,6.86,277,237,40,0.7225540966161562,0,527
411,7.65,210,198,12,0.6839803325601894,0,398
412,10.25,117,109,8,0.9633933783698491,1,392
413,3.64,82,76,6,0.21513022642467916,0,88
414,6.52,191,185,6,0.5516795637526395,0,348
415,3.46,70,66,4,0.6017644421104693,0,86
416,2.17,97,70,27,0.9986478849342207,0,132
417,3.3,197,137,60,0.2011841421666517,1,263
418,3.7,297,207,90,0.5232180199672922,0,346
419,11.13,177,148,29,0.34618530771363887,1,501
420,2.67,185,173,12,0.5258929685789998,0,222
421,2.45,184,147,37,0.23212860210310593,0,196
422,7.79,244,179,65,0.04761237842748811,0,358
423,1.18,194,193,1,0.5725654538976889,0,191
424,6.5,177,133,44,0.33585431586083214,0,291
425,3.25,82,65,17,0.18194140174843365,0,85
426,1.26,225,161,64,0.32393556607803375,0,196
427,7.42,253,241,12,0.04928020144774492,0,384
428,1.98,236,181,55,0.9504422340901033,0,254
429,4.86,164,135,29,0.5811479149732605,0,297
430,2.92,263,224,39,0.8147686813470248,0,343
431,1.46,168,145,23,0.4231181975477304,0,154
432,1.35,71,52,19,0.9033146675661857,0,75
433,4.04,287,268,19,0.48331822155225335,1,639
434,1.5,207,207,0,0.5739453222006694,0,204
435,9.85,87,70,17,0.49179398006265684,1,255
436,4.4,279,250,29,0.7332782958676516,0,535
437,3.4,158,130,28,0.5666560776020624,0,190
438,3.93,100,72,28,0.2715989235803977,0,107
439,7.5,231,186,45,0.1455395313226463,0,357
440,7.38,57,57,0,0.6061243888829777,0,106
441,6.01,76,71,5,0.48917996154703625,0,135
442,7.19,76,65,11,0.09597569669611294,0,116
443,3.24,275,251,24,0.3956174657932684,0,315
444,3.67,70,55,15,0.5147764220004536,0,82
445,8.52,79,69,10,0.82689323382559,1,255
446,5.37,146,108,38,0.07610105583336235,0,217
447,4.37,77,60,17,0.3484953482460029,0,128
448,3.8,160,116,44,0.8226561227103854,0,206
449,7.9,241,188,53,0.6484239317715788,0,443
450,6.75,274,268,6,0.2899583218037868,0,457
451,4.04,246,175,71,0.8453351220226424,0,478
452,9.55,110,99,11,0.49329358056269235,1,326
453,2.89,97,76,21,0.49835189131046054,0,113
454,1.7,196,156,40,0.9765873392003843,0,213
455,6.17,53,51,2,0.9471165032363784,1,133
456,6.63,84,75,9,0.3585326833698439,1,180
457,1.12,241,175,66,0.1405791286630823,0,196
458,10.33,98,76,22,0.32566673227809406,1,274
459,3.51,66,61,5,0.03048326031138804,0,66
460,8.22,221,172,49,0.020767886710391203,1,564
461,1.52,269,233,36,0.3955221362514192,0,245
462,2.22,207,171,36,0.9410198226972342,0,280
463,7.23,270,256,14,0.8713573412322078,0,543
464,5.26,95,91,4,0.511442833917623,0,171
465,7.65,166,130,36,0.5652263811708307,0,297
466,7.99,55,40,15,0.005933496746056477,0,79
467,3.6,148,139,9,0.2155011558337655,0,159
468,3.09,173,121,52,0.024774126934383744,0,167
469,7.01,282,263,19,0.7545395326953875,0,546
470,7.99,86,74,12,0.14564579602649774,0,134
471,5.41,73,58,15,0.8690471024768169,0,144
472,6.57,142,134,8,0.6433243136757882,0,266
473,10.04,290,226,64,0.22941867651571335,1,788
474,3.49,95,89,6,0.15772031708324974,0,100
475,5.02,230,164,66,0.6276247009230531,0,417
476,6.83,144,102,42,0.9008369802823235,0,284
477,5.82,148,136,12,0.7183602189143816,0,283
478,1.15,237,221,16,0.3485466516033776,0,214
479,3.36,274,239,35,0.5873835952686471,0,333
480,4.3,165,137,28,0.3107616953724214,1,346
481,2.63,240,220,20,0.9991495667786588,0,333
482,7.34,262,205,57,0.7488391884618512,0,498
483,1.26,209,190,19,0.6143816397567536,0,206
484,4.98,264,252,12,0.4232591427658292,1,579
485,3.17,210,177,33,0.6181522902595573,0,257
486,5.32,116,86,30,0.3416160624673348,0,191
487,4.74,177,159,18,0.028864839458030755,0,265
488,2.53,67,55,12,0.39508852235663283,0,76
489,2.15,74,58,16,0.930480819579867,0,99
490,2.66,283,204,79,0.6263010947738659,0,342
491,7.52,272,227,45,0.08395570307090161,1,534
492,2.9,103,92,11,0.8849936133950259,0,138
493,7.63,107,93,14,0.26887484934151484,0,175
494,4.25,116,83,33,0.24376949308272744,0,184
495,1.41,153,128,25,0.2970909687803208,0,134
496,6.1,223,202,21,0.5772022361259574,0,407
497,3.3,73,54,19,0.5446880934339766,0,86
498,5.57,163,141,22,0.4914137546228817,0,288
499,2.96,81,67,14,0.717536863512627,0,102
500,5.0,224,193,31,0.316537731334959,0,372
501,6.41,135,129,6,0.7820645215724311,0,264
502,11.35,200,186,14,0.17532167837859913,1,544
503,2.83,243,210,33,0.7826207890770093,0,314
504,3.34,176,127,49,0.6638101052502828,0,215
505,4.25,204,154,50,0.6832083095475865,0,378
506,7.49,283,255,28,0.48155339712726,0,500
507,11.11,179,174,5,0.6670015326808647,1,559
508,1.63,267,215,52,0.07979704655945741,0,214
509,1.92,66,50,16,0.8515511170493673,0,69
510,4.47,153,131,22,0.05554723348764601,0,230
511,1.75,210,194,16,0.14874150987149748,0,176
512,3.42,186,156,30,0.5767897084972363,0,224
513,2.04,92,82,10,0.7394114554566915,0,118
514,8.72,295,283,12,0.07625156434625346,1,781
515,11.55,225,213,12,0.9207648141223198,1,747
516,7.98,88,76,12,0.9736076488006986,0,181
517,3.63,270,235,35,0.605950173007711,0,330
518,8.39,219,191,28,0.48124345537683655,1,645
519,6.99,296,222,74,0.7413949722797497,0,559
520,1.82,75,75,0,0.3283573523272054,0,68
521,5.83,148,124,24,0.49326443410510645,0,260
522,6.68,99,89,10,0.9161510268144013,1,245
523,4.86,202,194,8,0.9556554252415336,1,508
524,3.82,201,160,41,0.927069116051185,0,269
525,1.53,62,50,12,0.26244806696384015,0,53
526,5.87,109,91,18,0.2324690402167634,0,175
527,2.77,299,267,32,0.29766450592931426,0,330
528,3.18,184,182,2,0.4413111123884602,0,216
529,1.85,106,104,2,0.3141674127919636,0,95
530,7.05,85,68,17,0.37421279573905797,0,143
531,7.44,222,186,36,0.6206369521207595,1,507
532,5.01,69,49,20,0.7625256770939759,0,131
533,4.99,114,87,27,0.735558198267917,0,215
534,3.87,57,55,2,0.814423567079152,0,75
535,2.35,287,210,77,0.03218440321540217,0,279
536,6.22,193,166,27,0.04773378967875608,0,289
537,4.14,191,142,49,0.7893829606886293,1,452
538,3.93,253,193,60,0.5330788223246319,1,374
539,5.97,164,117,47,0.5781406737621203,0,292
540,2.46,264,231,33,0.052586860214377085,0,265
541,5.76,192,185,7,0.2553138011712709,1,402
542,4.33,141,122,19,0.6383543048854777,0,261
543,4.15,147,122,25,0.8591818901106761,0,291
544,5.96,115,80,35,0.9169833971814025,0,228
545,8.61,81,80,1,0.5004194958350817,1,243
546,5.51,264,234,30,0.5454742327381976,0,476
547,6.0,240,203,37,0.8330496310689909,0,472
548,5.63,135,110,25,0.5376246007473546,1,301
549,3.26,100,78,22,0.5168585255373174,0,117
550,4.07,202,164,38,0.9050840377609537,0,404
551,3.15,235,229,6,0.7899327210558801,0,308
552,11.86,112,92,20,0.9090725263612945,1,367
553,6.7,239,205,34,0.2182470547811538,0,382
554,4.48,174,126,48,0.5243754866553567,1,383
555,1.04,199,139,60,0.842472128593358,0,206
556,1.3,107,96,11,0.11114782746710894,0,88
557,5.2,107,90,17,0.7946621542939618,1,256
